IdMachine;Machine;Nom Appli;Nom long Appli;Type Machine;OS;Distribution;Environnement;Envt Déduit;Niveau de Service;Cpu;Ram (Go);Disque (Go);Cpu Pond.;Ram Pond. (Go);Disque Pond. (Go);Cpu+Ram/4;Heures Cpu;Code Domaine MDC;Libellé Domaine MDC;Statut
2260;QYVZL2049013;ESTEIR;Evaluation Suivi et Traitement des  Entretien information Retraite (ESTEIR);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;0.667;2.00;74.167;0.667;2.00;74.167;1.167;;RETRAITE_DROITS;Retraite Droits;Actif
2260;QYVZL2049013;RAC;Simulation RAChat et Versement Pour La Retraite (RAC);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;0.667;2.00;74.167;0.667;2.00;74.167;1.167;;RETRAITE;Retraite SI historique;Actif
2260;QYVZL2049013;RAP;Retraite Anticipée Pénibilité (RAP);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;0.667;2.00;74.167;0.667;2.00;74.167;1.167;;RETRAITE_DROITS;Retraite Droits;Actif
2260;QYVZL2049013;SARADAE;SARA NAT DAE (SARADAE);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;0.667;2.00;74.167;0.667;2.00;74.167;1.167;;RETRAITE_PAIEMENT;Retraite Paiement;Actif
2260;QYVZL2049013;SARANAT;SARA-NAT (SARANAT);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;0.667;2.00;74.167;0.667;2.00;74.167;1.167;;RETRAITE_PAIEMENT;Retraite Paiement;Actif
2774;QYVZL2049014;OGEDA;Outil de gestion des alertes (OGEDA);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;2.00;2.00;85.00;2.00;2.00;85.00;2.50;;RETRAITE_DROITS;Retraite Droits;Actif
2710;QYVZL2049015;CAUX;Comptabilité Auxiliaire (CAUX);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;4.00;8.00;4990.20;4.00;8.00;4990.20;6.00;;RETRAITE_PAIEMENT;Retraite Paiement;Actif
2719;QYVZL2049016;;;VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;2.00;3.00;175.00;2.00;3.00;175.00;2.75;;;;Actif
2285;QYVZL2049017;CESARNT;CESARNT (CESARNT);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;2.00;6.00;175.00;2.00;6.00;175.00;3.50;;RETRAITE_PAIEMENT;Retraite Paiement;Actif
2770;QYVZL2049018;EURECA;Environnement Unifié de Recherche Et de Consultation des Archives (EURECA);VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;4.00;8.00;775.00;4.00;8.00;775.00;6.00;;RETRAITE_PAIEMENT;Retraite Paiement;Actif
2717;QYVZL2049019;;;VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;2.00;4.00;105.00;2.00;4.00;105.00;3.00;;;;Actif
2708;QYVZL2049020;ANTARES;Application Nationale des TrAitements Regionaux En action Sociale (ANTARES);VM;LINUX;Redhat_6Server;Hors Prod;VIP;ELECTRUM;2.00;8.00;775.00;2.00;8.00;775.00;4.00;;ACTION_SOCIALE;Action Sociale;Actif
1952;QYVZL2051011;;;VM;LINUX;Redhat_6.4;Hors Prod;VIP;ELECTRUM;4.00;8.00;175.00;4.00;8.00;175.00;6.00;;;;Actif
458;QYVZW1018159;ANTARES;Application Nationale des TrAitements Regionaux En action Sociale (ANTARES);VM;WINDOWS;Windows_7PRO;Hors Prod;VIP;ELECTRUM;1.00;3.00;30.00;1.00;3.00;30.00;1.75;;ACTION_SOCIALE;Action Sociale;Actif
3458;QYVZW1018162;;;VM;WINDOWS;Windows_2012R2;Hors Prod;VIP;ELECTRUM;2.00;8.00;110.00;2.00;8.00;110.00;4.00;;;;Actif
6407;QYVZW1020170;BSPNATION;Bureau Sans Papier National (BSPNATION);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;110.00;2.00;4.00;110.00;3.00;;STI_DEMAT;STI-Démat;Actif
2626;QYVZW1023045;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
2433;QYVZW1052012;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;70.00;2.00;4.00;70.00;3.00;;;;Actif
731;QYVZW1224013;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;4.00;100.00;4.00;4.00;100.00;5.00;;STI_DEMAT;STI-Démat;Actif
954;QYVZW1224014;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;4.00;100.00;4.00;4.00;100.00;5.00;;STI_DEMAT;STI-Démat;Actif
807;QYVZW1224015;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;8.00;170.002;2.00;8.00;170.002;4.00;;;;Actif
697;QYVZW1224016;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;4.00;100.00;4.00;4.00;100.00;5.00;;STI_DEMAT;STI-Démat;Actif
817;QYVZW1224017;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;100.00;2.00;4.00;100.00;3.00;;STI_DEMAT;STI-Démat;Actif
3039;QYVZW1224018;GEDRETRAIT;GED-Retraite (GEDRETRAIT);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;4.00;482.00;4.00;4.00;482.00;5.00;;STI_DEMAT;STI-Démat;Actif
530;QYVZW1224019;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;1.00;2.00;40.00;1.00;2.00;40.00;1.50;;STI_DEMAT;STI-Démat;Actif
530;QYVZW1224019;TRAN;TRAN (TRAN);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;1.00;2.00;40.00;1.00;2.00;40.00;1.50;;STI_OUTILS_DEV;STI-Outils DEV;Actif
5119;QYVZW1224021;GEDRETRAIT;GED-Retraite (GEDRETRAIT);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;100.00;2.00;4.00;100.00;3.00;;STI_DEMAT;STI-Démat;Actif
5099;QYVZW1224022;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;8.00;100.00;4.00;8.00;100.00;6.00;;STI_DEMAT;STI-Démat;Actif
400;QYVZW1224023;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;10.00;90.00;4.00;10.00;90.00;6.50;;;;Actif
765;QYVZW1224025;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;4.00;100.00;4.00;4.00;100.00;5.00;;STI_DEMAT;STI-Démat;Actif
3114;QYVZW1224026;AGENT;Agent GRC (AGENT);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;4.00;80.00;4.00;4.00;80.00;5.00;;OUTIL_RELATION_CLIENT;Outil relation client;Actif
5205;QYVZW1224028;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
722;QYVZW1224029;BSPNATION;Bureau Sans Papier National (BSPNATION);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;115.00;2.00;4.00;115.00;3.00;;STI_DEMAT;STI-Démat;Actif
725;QYVZW1224031;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;8.00;100.00;2.00;8.00;100.00;4.00;;;;Actif
5201;QYVZW1224032;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;12.00;16.00;100.00;12.00;16.00;100.00;16.00;;STI_DEMAT;STI-Démat;Actif
462;QYVZW1224034;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;4.00;100.00;4.00;4.00;100.00;5.00;;STI_DEMAT;STI-Démat;Actif
683;QYVZW1224039;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;4.00;100.00;4.00;4.00;100.00;5.00;;STI_DEMAT;STI-Démat;Actif
669;QYVZW1224041;CMF;Centre Mutualisé de Filmage (CMF);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;110.00;2.00;4.00;110.00;3.00;;STI_DEMAT;STI-Démat;Actif
3111;QYVZW1224042;CMF;Centre Mutualisé de Filmage (CMF);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;110.00;2.00;4.00;110.00;3.00;;STI_DEMAT;STI-Démat;Actif
447;QYVZW1224044;GEDDGAFP;GED-DGAFP (GEDDGAFP);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;STI_DEMAT;STI-Démat;Actif
437;QYVZW1224045;GEDDGAFP;GED-DGAFP (GEDDGAFP);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;8.00;100.00;2.00;8.00;100.00;4.00;;STI_DEMAT;STI-Démat;Actif
5244;QYVZW1224053;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;80.00;2.00;4.00;80.00;3.00;;;;Actif
5143;QYVZW1224057;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;8.00;100.00;4.00;8.00;100.00;6.00;;STI_DEMAT;STI-Démat;Actif
534;QYVZW1224058;CAPTURE;CAPTURE (CERTAIN SCAN) (CAPTURE);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;8.00;100.00;4.00;8.00;100.00;6.00;;STI_DEMAT;STI-Démat;Actif
5326;QYVZW1224063;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;10.00;100.00;4.00;10.00;100.00;6.50;;;;Actif
6098;QYVZW1225017;ARCMRUNMR;ARCM RunMR (ARCMRUNMR);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;20.00;70.00;2.00;20.00;70.00;7.00;;STI_OUTILS_GESTION;STI-Outils Gestion;Actif
6376;QYVZW1225038;CAUX;Comptabilité Auxiliaire (CAUX);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;8.00;80.00;2.00;8.00;80.00;4.00;;RETRAITE_PAIEMENT;Retraite Paiement;Actif
6152;QYVZW1225131;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;8.00;80.00;2.00;8.00;80.00;4.00;;;;Actif
7037;QYVZW1225132;LINAC;Logiciel d’Information Nationale des Actions Collectives et Lieux de Vie Collectifs (LINAC);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;70.00;2.00;4.00;70.00;3.00;;ACTION_SOCIALE;Action Sociale;Actif
8350;QYVZW1225137;SARANAT;SARA-NAT (SARANAT);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;70.00;2.00;4.00;70.00;3.00;;RETRAITE_PAIEMENT;Retraite Paiement;Actif
4725;QYVZW1226026;EASYVISTA;Easyvista (EASYVISTA);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;1.00;4.00;100.00;1.00;4.00;100.00;2.00;;LCB;LCB hors Sinergi;Actif
3900;QYVZW1226027;EASYVISTA;Easyvista (EASYVISTA);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;1.00;4.00;70.00;1.00;4.00;70.00;2.00;;LCB;LCB hors Sinergi;Actif
4448;QYVZW1226028;EASYVISTA;Easyvista (EASYVISTA);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;1.00;4.00;70.00;1.00;4.00;70.00;2.00;;LCB;LCB hors Sinergi;Actif
3887;QYVZW1226030;SINERGI;SINERGI (SINERGI);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;8.00;180.00;2.00;8.00;180.00;4.00;;LCB_SINERGI;LCB Sinergi;Actif
4420;QYVZW1226033;SAIP;SAIP (SAIP);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;8.00;110.00;2.00;8.00;110.00;4.00;;LCB;LCB hors Sinergi;Actif
2238;QYVZW1227066;ARCMRUNMR;ARCM RunMR (ARCMRUNMR);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;1.00;6.00;35.00;1.00;6.00;35.00;2.50;;STI_OUTILS_GESTION;STI-Outils Gestion;Actif
2238;QYVZW1227066;ARISRUNMR;ARIS RunMR (ARISRUNMR);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;1.00;6.00;35.00;1.00;6.00;35.00;2.50;;STI_OUTILS_GESTION;STI-Outils Gestion;Actif
336;QYVZW1227067;ARCMRUNMR;ARCM RunMR (ARCMRUNMR);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;1.00;6.00;40.00;1.00;6.00;40.00;2.50;;STI_OUTILS_GESTION;STI-Outils Gestion;Actif
336;QYVZW1227067;ARISRUNMR;ARIS RunMR (ARISRUNMR);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;1.00;6.00;40.00;1.00;6.00;40.00;2.50;;STI_OUTILS_GESTION;STI-Outils Gestion;Actif
331;QYVZW1227072;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;12.00;70.00;2.00;12.00;70.00;5.00;;;;Actif
2386;QYVZW1230012;;;VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;4.00;270.00;2.00;4.00;270.00;3.00;;;;Actif
144;QYVZW1240011;WEBCHECK;WEBCHECK (WEBCHECK);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;2.00;8.00;570.00;2.00;8.00;570.00;4.00;;STI_DEMAT;STI-Démat;Actif
7313;QYVZW2048011;GEDRETRAIT;GED-Retraite (GEDRETRAIT);VM;WINDOWS;Windows_2008;Hors Prod;VIP;ELECTRUM;4.00;8.00;460.00;4.00;8.00;460.00;6.00;;STI_DEMAT;STI-Démat;Actif
11094;QZSDW1145061;;;VM;WINDOWS;Windows_2008;Hors Prod;DEV;ARGENT;4.00;4.00;161.00;4.00;4.00;161.00;5.00;;;;Actif
